Category,Gender,profit
Computers,Male,5684458.64
Computers,Female,5502206.98
"Home Appliances",Male,3269353.08
"Home Appliances",Female,2999201.77
"Cameras and camcorders",Male,1983484.31
"Cameras and camcorders",Female,1924765.92
"TV and Video",Male,1763458.23
"Cell phones",Male,1758485.28
"TV and Video",Female,1728022.23
"Cell phones",Female,1704369.38
"Music, Movies and Audio Books",Female,985800.99
Audio,Male,922290.7
"Music, Movies and Audio Books",Male,913807.85
Audio,Female,893622.15
"Games and Toys",Male,198097.96
"Games and Toys",Female,194699.38
