"Product Name",Category,age_range,purchase_count,profit
"Fabrikam Laptop14.1 M4100 White",Computers,11-20,5,1311.53
"Contoso Cyber Shot Digital Cameras Adapter E306 Black","Cameras and camcorders",11-20,7,137.2
"Litware Home Theater System 7.1 Channel M710 Silver","TV and Video",11-20,2,1068.56
"NT Washer & Dryer 21in E2100 Silver","Home Appliances",11-20,3,2352.66
"Litware Desktop Wind Tower Oscillating Fan E1201 Purple","Home Appliances",11-20,7,102.9
"Contoso Digital camera accessory kit M200 White",Computers,11-20,3,38.73
"Proseware Wireless Photo All-in-One Printer M390 Grey",Computers,11-20,11,1094.37
"Proseware Air conditioner 10000BTU M490 Red","Home Appliances",11-20,4,929
"Contoso Washer & Dryer 21in E210 Red","Home Appliances",11-20,3,2351.34
"The Phone Company Smart phones 6-LINE SCREEN M21 White","Cell phones",11-20,2,248.46
"Contoso Rubberized Snap-On Cover Hard Case Cell Phone Protector E160 Silver","Cell phones",11-20,2,4.64
"The Phone Company Touch Screen Phones SAW/On-wall M806 Grey","Cell phones",11-20,1,158.26
"Contoso Carrying Case E312 Silver","Cameras and camcorders",11-20,10,208.36
"Contoso Behind Centrex X15 White","Cell phones",11-20,4,113.77
"Contoso Coffee Maker Auto 5C E0900 Grey","Home Appliances",11-20,3,210.7
"Contoso Microwave 1.5CuFt X0110 Black","Home Appliances",11-20,1,445.3
"MGS Rise of Nations2009 E152","Games and Toys",11-20,7,147.56
"Proseware Slim-Design Fax Machine with Answering System X180 White",Computers,11-20,3,355.74
"A. Datum Full Frame Digital Camera X300 Grey","Cameras and camcorders",11-20,1,116.07
"A. Datum SLR Camera 35" M358 Gold","Cameras and camcorders",11-20,6,990.48
"Litware Washer & Dryer 25.5in M350 Blue","Home Appliances",11-20,1,1420.59
"Proseware Screen 100in M1609 Silver",Computers,11-20,1,76.07
"Adventure Works Coffee Maker 12C M100 Grey","Home Appliances",11-20,2,480.72
"MGS RalliSport Challenge2009 E155","Games and Toys",11-20,3,28.56
"Litware Home Theater System 4.1 Channel M411 Brown","TV and Video",11-20,1,436.75
"Fabrikam Business Videographer 2/3" 17mm M280 Blue","Cameras and camcorders",11-20,1,452.63
"Litware 18'' Oscillating Pedestal Fan M145 Blue","Home Appliances",11-20,1,216.05
"Contoso 2G MP3 Player E200 Red",Audio,11-20,4,37.34
"MGS Age of Mythology: Gold Edition M310","Games and Toys",11-20,1,43.1
"MGS Bicycle Board Games X500","Games and Toys",11-20,3,218.67
"WWI LCD22 M2002 Black",Computers,11-20,9,3725.19
"Adventure Works Laptop12 M1201 Blue",Computers,11-20,2,375.42
"Contoso SLR Camera 35" M358 Orange","Cameras and camcorders",11-20,7,1353.59
"Fabrikam Laptop19 M9000 Black",Computers,11-20,7,5144.16
"The Phone Company PDA GPS Phone 4.7 inch L950 Silver","Cell phones",11-20,3,937.75
