Country,net_profit,"Square Meters",StoreKey
Online,6687197.96,NULL,0
Australia,199158.61,595,1
Australia,13071.38,665,2
Australia,370315.65,2000,4
Australia,710899.76,2000,5
Australia,439845.18,2000,6
Canada,948773.21,2105,8
Canada,1018622.43,1500,9
Canada,800519.03,1210,10
France,93432.19,350,12
France,78921.94,245,13
France,56349.41,350,14
France,104130.53,400,15
France,105684.71,385,16
France,81395.25,350,17
France,119453.88,310,18
Germany,299849.62,1295,19
Germany,202049.08,1715,20
Germany,208469.54,560,21
Germany,336965.69,2000,22
Germany,316100.74,1365,23
Germany,349896.52,1855,24
Germany,146825.4,350,26
Germany,341709.36,2000,27
Italy,98835.02,1200,28
Italy,474820.96,1000,29
Italy,496042.77,2100,30
Netherlands,183213.2,1085,31
Netherlands,197253.61,910,32
Netherlands,218859.74,1540,33
Netherlands,228415.44,1365,34
"United Kingdom",375415.44,1300,36
"United Kingdom",379014.44,2100,37
"United Kingdom",444530.7,1800,38
"United Kingdom",401324.65,2100,39
"United Kingdom",412026.17,1300,40
"United Kingdom",168220.45,2100,41
"United Kingdom",396356.14,1900,42
"United States",741093,1190,43
"United States",711002.94,2000,44
"United States",761271.82,2000,45
"United States",655657.7,1120,47
"United States",622248.2,1540,48
"United States",546494.99,2000,49
"United States",819659.12,2000,50
"United States",659826.29,1295,51
"United States",696761.99,1260,53
"United States",810300.06,2000,54
"United States",830551.75,2000,55
"United States",707631.6,1260,56
"United States",784095.76,1645,57
"United States",754702.32,2000,59
"United States",764997.2,2000,61
"United States",391744.34,1120,62
"United States",484298.99,2000,63
"United States",745283.99,1330,64
"United States",711346.78,1785,65
"United States",723190.21,840,66
